time_records,open,high,low,close,prediction,ticket,order price,prediction_s
4/7/2023 2:00,2009.232,2009.432,2006.234,2006.455,0,none,none,0
4/11/2023 7:00,1992.393,1995.419,1992.346,1993.204,0,none,none,0
4/11/2023 11:00,1997.547,2000.045,1997.376,1999.771,0,none,none,0
4/11/2023 12:00,1999.774,2001.569,1998.712,1999.069,0,none,none,0
4/11/2023 13:00,1999.037,2001.869,1998.357,1999.23,0,none,none,0
4/11/2023 14:00,1999.196,2003.658,1997.791,2002.072,0,none,none,0
4/11/2023 15:00,2002.04,2007.447,2001.264,2004.591,0,none,none,0
4/11/2023 16:00,2004.56,2005.424,2002.523,2004.531,0,none,none,0
4/11/2023 17:00,2004.533,2004.965,2001.413,2004.414,0,none,none,0
4/11/2023 18:00,2004.383,2004.383,1999.382,2000.467,0,273715435,2000.456,1
4/11/2023 19:00,2000.456,2002.564,1998.202,1998.569,0,273746044,1998.859,1
4/11/2023 20:00,1998.601,2002.47,1995.463,2001.414,0,none,none,0
4/11/2023 21:00,2001.446,2004.684,1999.73,2002.475,0,none,none,0
4/11/2023 22:00,2002.48,2006.233,2001.617,2004.17,0,none,none,0
4/11/2023 23:00,2004.15,2006.598,2003.938,2006.219,0,none,none,0
4/12/2023 0:00,2006.199,2006.416,2000.99,2005.586,0,none,none,0
4/12/2023 1:00,2005.618,2005.879,2003.971,2004.513,0,none,none,0
4/12/2023 2:00,2004.488,2006.752,2003.465,2004.088,0,none,none,0
4/12/2023 3:00,2004.12,2004.639,2002.869,2003.567,0,none,none,0
4/12/2023 5:00,2003.258,2004.327,2003.033,2003.864,0,none,none,0
4/12/2023 6:00,2003.867,2005.058,2003.455,2004.696,0,none,none,0
4/12/2023 7:00,2004.713,2005.498,2003.999,2005.466,0,none,none,0
4/12/2023 8:00,2005.456,2014.927,2003.959,2014.607,1,274031800,2015.049,0
4/12/2023 9:00,2014.613,2019.305,2013.831,2014.939,0,none,none,0
4/12/2023 10:00,2014.952,2018.296,2014.168,2017.251,0,none,none,0
4/12/2023 11:00,2017.288,2021.109,2017.106,2020.378,0,none,none,0
4/12/2023 12:00,2020.404,2020.783,2017.612,2018.261,0,274142513,2017.985,1
4/12/2023 13:00,2018.227,2018.79,2013.538,2015.654,0,274191731,2015.687,1
4/12/2023 14:00,2015.657,2016.589,2011.65,2012.991,0,274241070,2013.02,1
4/12/2023 15:00,2013.02,2013.718,2008.984,2009.071,0,274288561,2009.002,1
4/12/2023 16:00,2009.067,2011.565,2008.602,2010.87,0,none,none,0
4/12/2023 17:00,2010.838,2011.541,2007.236,2008.851,0,274339831,2008.849,1
4/12/2023 18:00,2008.883,2010.281,2007.321,2007.735,0,none,none,0
4/12/2023 19:00,2007.701,2028.164,2006.258,2022.25,1,274448495,2022.66,0
4/12/2023 20:00,2022.284,2023.834,2000.982,2007.801,0,274509678,2007.85,1
4/12/2023 21:00,2007.832,2013.123,2003.105,2006.954,0,none,none,0
4/12/2023 22:00,2006.987,2009.47,2005.645,2005.817,0,none,none,0
4/12/2023 23:00,2005.785,2009.372,2005.246,2007.872,0,none,none,0
4/13/2023 0:00,2007.868,2012.604,2006.504,2011.514,1,274632756,2011.642,0
4/13/2023 1:00,2011.517,2016.949,2011.348,2015.796,1,274657142,2015.953,0
4/13/2023 3:00,2013.657,2015.102,2013.269,2014.851,0,none,none,0
4/13/2023 5:00,2014.468,2015.168,2014.05,2015.152,0,none,none,0
4/13/2023 6:00,2015.12,2018.491,2015.109,2018.186,0,none,none,0
4/13/2023 7:00,2018.155,2019.769,2016.564,2017.889,0,none,none,0
4/13/2023 8:00,2017.893,2019.211,2015.851,2017.88,0,none,none,0
4/13/2023 9:00,2017.85,2019.324,2016.32,2017.856,0,none,none,0
4/13/2023 10:00,2017.852,2017.905,2015.713,2017.461,0,none,none,0
4/13/2023 11:00,2017.452,2019.338,2017.408,2018.482,0,none,none,0
4/13/2023 12:00,2018.497,2019.159,2015.359,2015.402,0,274790183,2015.34,1
4/13/2023 13:00,2015.371,2023.19,2015.314,2020.435,1,274825775,2020.757,0
4/13/2023 14:00,2020.466,2025.656,2020.466,2024.515,1,274856282,2024.663,0
4/13/2023 15:00,2024.538,2029.173,2024.452,2026.604,0,none,none,0
4/13/2023 16:00,2026.592,2028.617,2025.762,2026.57,0,none,none,0
4/13/2023 17:00,2026.601,2027.959,2024.992,2026.673,0,none,none,0
4/13/2023 18:00,2026.666,2028.652,2025.437,2028.611,0,none,none,0
4/13/2023 19:00,2028.602,2045.688,2026.378,2044.984,1,275064190,2044.842,0
4/13/2023 20:00,2045.05,2047.05,2039.694,2046.52,0,none,none,0
4/13/2023 21:00,2046.55,2048.672,2033.55,2034.214,0,275190804,2034.148,1
4/13/2023 22:00,2034.179,2042.396,2034.02,2038.938,1,275236610,2039.069,0
4/13/2023 23:00,2038.976,2040.59,2037.289,2040.17,0,none,none,0
4/14/2023 0:00,2040.201,2044.116,2039.179,2043.793,1,275308211,2043.94,0
4/14/2023 1:00,2043.782,2044.011,2037.515,2038.324,0,275337486,2038.496,1
4/14/2023 2:00,2038.322,2040.903,2036.637,2040.629,0,none,none,0
4/14/2023 3:00,2040.576,2041.087,2039.872,2040.525,0,none,none,0
4/14/2023 5:00,2040.561,2040.767,2040.024,2040.12,0,none,none,0
4/14/2023 6:00,2040.121,2040.192,2038.709,2039.751,0,none,none,0
4/14/2023 7:00,2039.75,2043.682,2038.631,2041.909,0,none,none,0
4/14/2023 8:00,2041.878,2046.013,2041.153,2045.934,1,275473135,2046.004,0
4/14/2023 9:00,2045.909,2047.429,2044.89,2046.129,0,none,none,0
4/14/2023 10:00,2046.102,2046.102,2042.866,2045.059,0,none,none,0
4/14/2023 11:00,2045.058,2046.499,2042.452,2043.253,0,275561616,2043.385,1
4/14/2023 12:00,2043.25,2043.712,2039.584,2042.807,0,none,none,0
4/14/2023 13:00,2042.838,2044.294,2040.67,2041.3,0,none,none,0
4/14/2023 14:00,2041.32,2041.329,2036.634,2039.233,0,275675991,2039.198,1
4/14/2023 15:00,2039.229,2039.346,2031.736,2035.788,0,275725380,2035.758,1
4/14/2023 16:00,2035.758,2038.763,2034.522,2038.632,0,none,none,0
4/14/2023 17:00,2038.664,2042.21,2037.711,2038.272,0,none,none,0
4/14/2023 18:00,2038.273,2038.275,2032.27,2033.261,0,275823277,2033.317,1
4/14/2023 19:00,2033.286,2040.12,2017.236,2024.67,0,275895587,2024.424,1
4/14/2023 20:00,2024.638,2028.079,2019.921,2023.506,0,none,none,0
4/14/2023 21:00,2023.278,2023.278,1997.766,1998.471,0,276018649,1998.539,1
4/14/2023 22:00,1998.502,2000.823,1993.639,1995.662,0,276072448,1995.755,1
4/14/2023 23:00,1995.66,1999.656,1992.401,1999.557,1,276110554,1999.694,0
4/15/2023 0:00,1999.569,2004.139,1998.596,2003.898,1,276131851,2004.088,0
4/15/2023 1:00,2003.929,2006.847,2003.371,2006.345,0,none,none,0
4/15/2023 2:00,2006.376,2007.991,2004.981,2005.317,0,none,none,0
4/17/2023 7:00,2002.904,2004.679,2001.486,2002.13,0,none,none,0
4/17/2023 8:00,2002.16,2004.985,1995.264,2003.218,0,none,none,0
4/17/2023 9:00,2003.187,2006.311,2003.155,2004.079,0,none,none,0
4/17/2023 10:00,2004.051,2005.16,2004.017,2004.543,0,none,none,0
4/17/2023 11:00,2004.517,2006.042,2003.747,2004.381,0,none,none,0
4/17/2023 13:00,2011.331,2013.511,2010.563,2011.407,0,none,none,0
4/17/2023 14:00,2011.396,2015.035,2010.122,2010.82,0,none,none,0
4/17/2023 15:00,2010.777,2012.711,2008.306,2009.901,0,none,none,0
4/17/2023 16:00,2009.898,2012.07,2009.757,2010.4,0,none,none,0
